Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Mathijs de Groot,206,141,Amsterdam 2023-06-17 - Place: 24 Points: 140.84,,
Mika Mundo,207,140,Enschede 2023-04-22 - Place: 7 Points: 140.0,,
Thomas Roine,208,140,Enschede 2023-04-22 - Place: 7 Points: 140.0,,
Jan Derksen,209,124,Groningen 2023-05-27 - Place: 18 Points: 82.32,Enschede 2023-04-22 - Place: 30 Points: 42.0,
Joël van den Berg,210,123,Groningen 2023-05-27 - Place: 13 Points: 123.48,,
Leon Visser,211,123,Groningen 2023-05-27 - Place: 14 Points: 123.48,,
Roel Oldenkamp,212,123,Groningen 2023-05-27 - Place: 15 Points: 123.48,,
Daan Buiter,213,123,Groningen 2023-05-27 - Place: 16 Points: 123.48,,
Ennio Mos,214,123,Groningen 2023-05-27 - Place: 16 Points: 123.48,,
Dario Go,215,112,Enschede 2023-04-22 - Place: 9 Points: 112.0,,
Teelke Limbeck,216,112,Enschede 2023-04-22 - Place: 10 Points: 112.0,,
Gerrit Lang,217,112,Enschede 2023-04-22 - Place: 10 Points: 112.0,,
Luuk vd Klein,218,106,Amsterdam 2023-06-17 - Place: 26 Points: 105.63,,
Daan van Velsen,219,106,Amsterdam 2023-06-17 - Place: 26 Points: 105.63,,
Jake King,220,106,Amsterdam 2023-06-17 - Place: 27 Points: 105.63,,
Klaas Weinrich,221,106,Amsterdam 2023-06-17 - Place: 27 Points: 105.63,,
Martijn Alberts,222,106,Amsterdam 2023-06-17 - Place: 28 Points: 105.63,,
Jakob Biebuyck,223,106,Amsterdam 2023-06-17 - Place: 31 Points: 105.63,,
Leon Vauterin,224,106,Amsterdam 2023-06-17 - Place: 31 Points: 105.63,,
Alexandre Tauziède,225,106,Amsterdam 2023-06-17 - Place: 32 Points: 105.63,,
Mustafa Durgun,226,106,Amsterdam 2023-06-17 - Place: 32 Points: 105.63,,
Franka Etzel,227,106,Groningen 2024-02-11 - Place: 17 Points: 105.56,,
Lorenz Theobald,228,106,Groningen 2024-02-11 - Place: 17 Points: 105.56,,
Bauke van der Kooij,229,106,Groningen 2024-02-11 - Place: 18 Points: 105.56,,
Marian Haydn,230,106,Groningen 2024-02-11 - Place: 19 Points: 105.56,,
Lieze Dockx,231,104,Amsterdam 2024-01-20 - Place: 17 Points: 104.16,,
Pieter-jan Zwaan,232,104,Amsterdam 2024-01-20 - Place: 17 Points: 104.16,,
Gijs van Gerwen,233,104,Amsterdam 2024-01-20 - Place: 18 Points: 104.16,,
Singrid feitosa Alexandrino,234,104,Amsterdam 2024-01-20 - Place: 19 Points: 104.16,,
Remy Rousselle,235,104,Amsterdam 2024-01-20 - Place: 21 Points: 104.16,,
Antoine Sapena,236,104,Amsterdam 2024-01-20 - Place: 21 Points: 104.16,,
Rianne Voerman,237,104,Amsterdam 2024-01-20 - Place: 22 Points: 104.16,,
Steven Biemans,238,104,Amsterdam 2024-01-20 - Place: 23 Points: 104.16,,
Milan Sent,239,84,Enschede 2023-04-22 - Place: 15 Points: 84.0,,
Thomas Haan,240,82,Groningen 2023-05-27 - Place: 17 Points: 82.32,,
Cristina Bogdan,241,82,Groningen 2023-05-27 - Place: 21 Points: 82.32,,
Sanne Hogesteeger,242,82,Groningen 2023-05-27 - Place: 21 Points: 82.32,,
Nicole Ijff,243,78,Amsterdam 2024-01-20 - Place: 25 Points: 78.12,,
J van Wijhe,244,78,Amsterdam 2024-01-20 - Place: 26 Points: 78.12,,
Matthew Elworthy,245,78,Amsterdam 2024-01-20 - Place: 26 Points: 78.12,,
Iris Bunnig,246,78,Amsterdam 2024-01-20 - Place: 27 Points: 78.12,,
Leonoor Schiphorst,247,78,Amsterdam 2024-01-20 - Place: 27 Points: 78.12,,
Nadja van Kessel,248,78,Amsterdam 2024-01-20 - Place: 28 Points: 78.12,,
Emiel Prikkel,249,78,Amsterdam 2024-01-20 - Place: 28 Points: 78.12,,
Stan Lochtenberg,250,70,Amsterdam 2023-06-17 - Place: 33 Points: 70.42,,
Paul Schmidt,251,70,Amsterdam 2023-06-17 - Place: 33 Points: 70.42,,
Thomas Dajer,252,70,Amsterdam 2023-06-17 - Place: 34 Points: 70.42,,
Kartik Jain,253,70,Amsterdam 2023-06-17 - Place: 35 Points: 70.42,,
Anna Junk,254,70,Amsterdam 2023-06-17 - Place: 35 Points: 70.42,,
Lise Pieper,255,70,Amsterdam 2023-06-17 - Place: 36 Points: 70.42,,
Justus Urbanetz,256,70,Amsterdam 2023-06-17 - Place: 38 Points: 70.42,,
Laura Kremer,257,70,Amsterdam 2023-06-17 - Place: 38 Points: 70.42,,
Sylvester Productions,258,70,Amsterdam 2023-06-17 - Place: 39 Points: 70.42,,
Toon van Holthe,259,70,Amsterdam 2023-06-17 - Place: 41 Points: 70.42,,
Khymo Moestadja,260,70,Amsterdam 2023-06-17 - Place: 41 Points: 70.42,,
Mayu Nagayama,261,70,Amsterdam 2023-06-17 - Place: 42 Points: 70.42,,
Genta Sekine,262,70,Amsterdam 2023-06-17 - Place: 42 Points: 70.42,,
Alex Sikotorski,263,56,Enschede 2023-04-22 - Place: 18 Points: 56.0,,
Jacques P,264,56,Enschede 2023-04-22 - Place: 18 Points: 56.0,,
Joel Cetra,265,56,Enschede 2023-04-22 - Place: 19 Points: 56.0,,
Benita Hansen,266,56,Enschede 2023-04-22 - Place: 19 Points: 56.0,,
Nick Delventhal,267,56,Enschede 2023-04-22 - Place: 22 Points: 56.0,,
Ben Andres,268,56,Enschede 2023-04-22 - Place: 22 Points: 56.0,,
Arno Waszink,269,42,Enschede 2023-04-22 - Place: 25 Points: 42.0,,
Said Lachhab,270,42,Enschede 2023-04-22 - Place: 25 Points: 42.0,,
Thomas van Geest,271,42,Enschede 2023-04-22 - Place: 26 Points: 42.0,,
Lauritz Dauer,272,42,Enschede 2023-04-22 - Place: 30 Points: 42.0,,
Berend Poos,273,42,Enschede 2023-04-22 - Place: 31 Points: 42.0,,
Maximilian Knoll,274,42,Enschede 2023-04-22 - Place: 32 Points: 42.0,,
Peter Sesler,275,42,Enschede 2023-04-22 - Place: 32 Points: 42.0,,
David van Beijnhem,276,28,Enschede 2023-04-22 - Place: 33 Points: 28.0,,
Thieri Balk,277,28,Enschede 2023-04-22 - Place: 34 Points: 28.0,,
Anneke Poelen,278,28,Enschede 2023-04-22 - Place: 34 Points: 28.0,,
Joep Schotsman,279,28,Enschede 2023-04-22 - Place: 35 Points: 28.0,,
